,app_name,exercise_segment,facility,fromhost_ip,hostname,message,procid,programname,severity,timegenerated,timereported,timestamp
95595,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:26:28 | 200 #033[0m|    3.903022ms |       10.4.2.27 |  GET #033[0m    /api/v1/connection-check,25466.0,gendpoint,6,2019-03-19T11:26:28.590361+01:00,2019-03-19T11:26:28+01:00,1552991188590
99947,sudo,blue-team-4,10,10.7.104.45,desktop4,     kypo : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:27:30.339210+01:00,2019-03-19T11:27:30+01:00,1552991250339
80942,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:22:22 | 200 #033[0m|    8.650447ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:22:22.278920+01:00,2019-03-19T11:22:22+01:00,1552990942278
175009,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:47:29+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:47:29 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (8ms)"" clientIP=10.1.2.27 dataLength=1452 hostname=global-app latency=8 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:47:29.862009+01:00,2019-03-19T11:47:29+01:00,1552992449862
45028,named,global,3,10.7.100.3,ns, client 4.122.55.4#39366 (govcert.ex): query: govcert.ex IN A + (4.122.55.3),4630.0,named,6,2019-03-19T11:12:30.342915+01:00,2019-03-19T11:12:30+01:00,1552990350342
123817,CRON,blue-team-4,10,10.7.104.26,db, pam_unix(cron:session): session opened for user root by (uid=0),18644.0,CRON,6,2019-03-19T11:34:01.316317+01:00,2019-03-19T11:34:01+01:00,1552991641316
90029,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:24:48+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:24:48 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=1 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:24:48.946086+01:00,2019-03-19T11:24:48+01:00,1552991088946
103368,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:28:28+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:28:28 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (4ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=4 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:28:28.901859+01:00,2019-03-19T11:28:28+01:00,1552991308901
198189,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:52:59 | 200 #033[0m|    1.046124ms |       10.1.2.27 |  GET #033[0m    /api/v1/incidents,25367.0,gendpoint,6,2019-03-19T11:52:59.690289+01:00,2019-03-19T11:52:59+01:00,1552992779690
152512,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:41:53 | 200 #033[0m|    7.571389ms |       10.6.2.27 |  GET #033[0m    /api/v1/units/status,25534.0,gendpoint,6,2019-03-19T11:41:53.213836+01:00,2019-03-19T11:41:53+01:00,1552992113213
55719,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:15:29 | 200 #033[0m|    3.528733ms |       10.6.2.27 |  GET #033[0m    /api/v1/connection-check,25534.0,gendpoint,6,2019-03-19T11:15:29.500169+01:00,2019-03-19T11:15:29+01:00,1552990529500
81337,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:22:27 | 200 #033[0m|    6.423105ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:22:27.182771+01:00,2019-03-19T11:22:27+01:00,1552990947182
56135,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:15:34+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:15:34 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.1.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:15:34.071059+01:00,2019-03-19T11:15:34+01:00,1552990534071
131451,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:36:05+01:00"" level=info msg=""10.4.2.27 - global-app [19/Mar/2019:11:36:05 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (8ms)"" clientIP=10.4.2.27 dataLength=1452 hostname=global-app latency=8 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25466.0,gendpoint,6,2019-03-19T11:36:05.394550+01:00,2019-03-19T11:36:05+01:00,1552991765394
48783,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:13:33+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:13:33 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.3.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:13:33.551364+01:00,2019-03-19T11:13:33+01:00,1552990413551
113264,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:31:11+01:00"" level=info msg=""10.2.2.27 - global-app [19/Mar/2019:11:31:11 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (2ms)"" clientIP=10.2.2.27 dataLength=2 hostname=global-app latency=2 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25400.0,gendpoint,6,2019-03-19T11:31:11.558833+01:00,2019-03-19T11:31:11+01:00,1552991471558
158835,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:43:31 | 200 #033[0m|    7.315909ms |       10.6.2.27 |  GET #033[0m    /api/v1/units/status,25534.0,gendpoint,6,2019-03-19T11:43:31.472486+01:00,2019-03-19T11:43:31+01:00,1552992211472
171680,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:46:38+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:46:38 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (4ms)"" clientIP=10.3.2.27 dataLength=2 hostname=global-app latency=4 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:46:38.399980+01:00,2019-03-19T11:46:38+01:00,1552992398399
97038,sudo,blue-team-2,10,10.7.102.45,desktop4,     kypo : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:26:46.831115+01:00,2019-03-19T11:26:46+01:00,1552991206831
77540,sudo,blue-team-1,10,10.7.101.44,desktop3, pam_unix(sudo:session): session opened for user root by (uid=0),,sudo,6,2019-03-19T11:21:25.292462+01:00,2019-03-19T11:21:25+01:00,1552990885292
854,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:00:14 | 200 #033[0m|    6.224896ms |       10.5.2.27 |  GET #033[0m    /api/v1/units/status,25498.0,gendpoint,6,2019-03-19T11:00:14.988529+01:00,2019-03-19T11:00:14+01:00,1552989614988
126168,nagios3,blue-team-3,1,10.7.103.250,nagios-scoring-blue3, HOST NOTIFICATION: root;blue3-usr-desktop1-win10;DOWN;notify-host-by-email;PING CRITICAL - Packet loss = 100%,,nagios3,6,2019-03-19T11:34:42.013666+01:00,2019-03-19T11:34:42+01:00,1552991682013
31928,dhclient,blue-team-2,3,10.7.102.12,mail, DHCPREQUEST on eth1 to 10.7.96.97 port 67 (xid=0x6459eb58),544.0,dhclient,6,2019-03-19T11:08:54.228753+01:00,2019-03-19T10:09:27+01:00,1552990134228
65486,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:18:05 | 200 #033[0m|     6.36867ms |       10.6.2.27 |  GET #033[0m    /api/v1/units/status,25534.0,gendpoint,6,2019-03-19T11:18:05.409587+01:00,2019-03-19T11:18:05+01:00,1552990685409
184368,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:49:37+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:49:37 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=1 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:49:37.830430+01:00,2019-03-19T11:49:37+01:00,1552992577830
97726,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:26:55 | 200 #033[0m|    3.925946ms |       10.6.2.27 |  GET #033[0m    /api/v1/connection-check,25534.0,gendpoint,6,2019-03-19T11:26:55.263943+01:00,2019-03-19T11:26:55+01:00,1552991215263
58722,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:16:20+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:16:20 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (10ms)"" clientIP=10.3.2.27 dataLength=1452 hostname=global-app latency=10 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:16:20.220242+01:00,2019-03-19T11:16:20+01:00,1552990580220
84706,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:23:27 | 200 #033[0m|    4.281157ms |       10.6.2.27 |  GET #033[0m    /api/v1/connection-check,25534.0,gendpoint,6,2019-03-19T11:23:27.862764+01:00,2019-03-19T11:23:27+01:00,1552991007862
46830,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:13:01+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:13:01 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (10ms)"" clientIP=10.5.2.27 dataLength=1452 hostname=global-app latency=10 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:13:01.557718+01:00,2019-03-19T11:13:01+01:00,1552990381557
42102,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:11:45 | 200 #033[0m|    4.290591ms |       10.2.2.27 |  GET #033[0m    /api/v1/connection-check,25400.0,gendpoint,6,2019-03-19T11:11:45.339609+01:00,2019-03-19T11:11:45+01:00,1552990305339
179372,dhclient,global,3,10.7.100.4,mail, DHCPREQUEST of 4.122.55.4 on ens8 to 4.122.55.1 port 67 (xid=0xb6e10c7),883.0,dhclient,6,2019-03-19T11:48:26.741296+01:00,2019-03-19T11:48:26+01:00,1552992506741
103292,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:28:27+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:28:27 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.3.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:28:27.118155+01:00,2019-03-19T11:28:27+01:00,1552991307118
129706,sudo,blue-team-3,10,10.7.103.45,desktop4, pam_unix(sudo:session): session opened for user root by (uid=0),,sudo,6,2019-03-19T11:35:43.561618+01:00,2019-03-19T11:35:43+01:00,1552991743561
166388,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:45:19+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:45:19 +0100] \""GET /api/v1/stratum-one\"" 200 31 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.1.2.27 dataLength=31 hostname=global-app latency=1 method=GET path=/api/v1/stratum-one referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:45:19.072161+01:00,2019-03-19T11:45:19+01:00,1552992319072
155978,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:42:45 | 200 #033[0m|    3.920683ms |       10.5.2.27 |  GET #033[0m    /api/v1/connection-check,25498.0,gendpoint,6,2019-03-19T11:42:45.984529+01:00,2019-03-19T11:42:45+01:00,1552992165984
71184,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:19:41 | 200 #033[0m|    7.540629ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:19:41.422358+01:00,2019-03-19T11:19:41+01:00,1552990781422
181926,NetworkManager,blue-team-4,0,10.7.104.26,db, <info>  [1552992543.4830]   nameserver '10.0.2.22',679.0,NetworkManager,6,2019-03-19T11:49:03.482194+01:00,2019-03-19T11:49:03+01:00,1552992543482
125517,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:34:29 | 200 #033[0m|    7.096598ms |       10.1.2.27 |  GET #033[0m    /api/v1/units/status,25367.0,gendpoint,6,2019-03-19T11:34:29.755327+01:00,2019-03-19T11:34:29+01:00,1552991669755
146021,sudo,blue-team-1,10,10.7.101.45,desktop4,   nagios : TTY=unknown ; PWD=/ ; USER=root ; COMMAND=/usr/bin/nmap -sU -Pn -p 53 10.0.2.22,,sudo,5,2019-03-19T11:40:08.384115+01:00,2019-03-19T11:40:08+01:00,1552992008384
25921,systemd,global,3,10.7.100.7,global-app, Started Network Manager Script Dispatcher Service.,1.0,systemd,6,2019-03-19T11:07:13.903823+01:00,2019-03-19T11:07:13+01:00,1552990033903
99383,named,global,3,10.7.100.3,ns, client 172.16.1.1#60920 (fonts.googleapis.com): query: fonts.googleapis.com IN A + (4.122.55.3),4630.0,named,6,2019-03-19T11:27:23.275746+01:00,2019-03-19T11:27:23+01:00,1552991243275
126528,sudo,blue-team-2,10,10.7.102.45,desktop4,   nagios : TTY=unknown ; PWD=/ ; USER=root ; COMMAND=/usr/bin/nmap -Pn -p 143 10.0.1.12,,sudo,5,2019-03-19T11:34:49.265408+01:00,2019-03-19T11:34:49+01:00,1552991689265
53910,sudo,blue-team-6,10,10.7.106.44,desktop3,     kypo : TTY=unknown ; PWD=/ ; USER=root ; COMMAND=/usr/bin/nmap -Pn -p 3269 10.0.2.22,,sudo,5,2019-03-19T11:14:59.497840+01:00,2019-03-19T11:14:59+01:00,1552990499497
17965,postfix,blue-team-6,2,10.7.106.12,mail, connect from unknown[10.0.3.33],14311.0,postfix,6,2019-03-19T11:05:01.146879+01:00,2019-03-19T10:05:45+01:00,1552989901146
89236,dovecot,blue-team-4,2,10.7.104.12,mail," pop3-login: Disconnected (no auth attempts in 0 secs): user=<>, rip=10.0.3.33, lip=10.0.1.12, TLS handshaking: Disconnected, session=<9mNXE2+EYNcKAAMh>",,dovecot,6,2019-03-19T11:24:33.945872+01:00,2019-03-19T10:24:44+01:00,1552991073945
32274,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:08:58+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:08:58 +0100] \""GET /api/v1/stratum-one\"" 200 31 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.1.2.27 dataLength=31 hostname=global-app latency=1 method=GET path=/api/v1/stratum-one referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:08:58.821626+01:00,2019-03-19T11:08:58+01:00,1552990138821
30610,dbus,blue-team-4,3,10.7.104.25,menu, [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',735.0,dbus,5,2019-03-19T11:08:40.559230+01:00,2019-03-19T11:08:40+01:00,1552990120559
73793,systemd,blue-team-3,3,10.7.103.26,db, Started Network Manager Script Dispatcher Service.,1.0,systemd,6,2019-03-19T11:20:32.916095+01:00,2019-03-19T11:20:32+01:00,1552990832916
181671,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:48:59 | 200 #033[0m|    2.189507ms |       10.0.3.32 |  GET #033[0m    /api/v1/units,22479.0,ocse,6,2019-03-19T11:48:59.184060+01:00,2019-03-19T11:48:59+01:00,1552992539184
95091,named,global,3,10.7.100.3,ns, client 172.16.1.1#60920 (nagios-scoring-blue5.cyberczech.ex): query: nagios-scoring-blue5.cyberczech.ex IN AAAA + (4.122.55.3),4630.0,named,6,2019-03-19T11:26:17.629407+01:00,2019-03-19T11:26:17+01:00,1552991177629
184707,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:49:43 | 200 #033[0m|     1.55086ms |       10.0.3.32 |  GET #033[0m    /api/v1/incidents,22479.0,ocse,6,2019-03-19T11:49:43.946161+01:00,2019-03-19T11:49:43+01:00,1552992583946
43147,sudo,blue-team-6,10,10.7.106.44,desktop3,     kypo : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:11:59.608745+01:00,2019-03-19T11:11:59+01:00,1552990319608
8463,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:02:25 | 200 #033[0m|    1.408523ms |       10.1.2.27 |  GET #033[0m    /api/v1/incidents,25367.0,gendpoint,6,2019-03-19T11:02:25.446715+01:00,2019-03-19T11:02:25+01:00,1552989745446
128472,named,global,3,10.7.100.3,ns, client 172.16.1.1#60920 (scontent.xx.fbcdn.net): query: scontent.xx.fbcdn.net IN A + (4.122.55.3),4630.0,named,6,2019-03-19T11:35:20.822790+01:00,2019-03-19T11:35:20+01:00,1552991720822
69694,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:19:15 | 200 #033[0m|     967.842µs |       10.3.2.27 |  GET #033[0m    /api/v1/incidents,25433.0,gendpoint,6,2019-03-19T11:19:15.489616+01:00,2019-03-19T11:19:15+01:00,1552990755489
47426,sudo,blue-team-4,10,10.7.104.44,desktop3,   nagios : TTY=unknown ; PWD=/ ; USER=root ; COMMAND=/usr/bin/nmap -Pn -p 88 10.0.2.22,,sudo,5,2019-03-19T11:13:11.530120+01:00,2019-03-19T11:13:11+01:00,1552990391530
178683,named,global,3,10.7.100.3,ns, client 9.66.11.13#59640 (ris-prod-atm.trafficmanager.net): query: ris-prod-atm.trafficmanager.net IN A +EDC (4.122.55.3),4630.0,named,6,2019-03-19T11:48:17.763757+01:00,2019-03-19T11:48:17+01:00,1552992497763
158548,apache-global-web,global,16,10.7.100.2,global-web," 10.5.4.42 - - [19/Mar/2019:11:43:26 +0100] chmelglobe.ex ""GET / HTTP/1.1"" 301 568 ""-"" ""-"" 0 80",,apache-global-web,6,2019-03-19T11:43:26.697920+01:00,2019-03-19T11:43:26+01:00,1552992206697
16351,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:04:30 | 200 #033[0m|    9.523876ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:04:30.787435+01:00,2019-03-19T11:04:30+01:00,1552989870787
32469,postfix,blue-team-6,2,10.7.106.12,mail, warning: cannot get RSA certificate from file /etc/ssl/certs/ssl-mail.pem: disabling TLS support,14452.0,postfix,4,2019-03-19T11:09:00.951701+01:00,2019-03-19T10:09:45+01:00,1552990140951
163547,sudo,blue-team-2,10,10.7.102.44,desktop3, pam_unix(sudo:session): session opened for user root by (uid=0),,sudo,6,2019-03-19T11:44:44.272757+01:00,2019-03-19T11:44:44+01:00,1552992284272
136131,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:37:25+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:37:25 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (2ms)"" clientIP=10.1.2.27 dataLength=2 hostname=global-app latency=2 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:37:25.067837+01:00,2019-03-19T11:37:25+01:00,1552991845067
59432,NetworkManager,global,0,10.7.100.25,test5, <info>  [1552990590.7878]   server identifier 4.122.55.1,752.0,NetworkManager,6,2019-03-19T11:16:30.788321+01:00,2019-03-19T11:16:30+01:00,1552990590788
31808,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:08:52 | 200 #033[0m|   11.755272ms |       10.6.2.27 |  GET #033[0m    /api/v1/units/status,25534.0,gendpoint,6,2019-03-19T11:08:52.001549+01:00,2019-03-19T11:08:52+01:00,1552990132001
77339,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:21:22 | 200 #033[0m|    4.730283ms |       10.2.2.27 |  GET #033[0m    /api/v1/connection-check,25400.0,gendpoint,6,2019-03-19T11:21:22.188003+01:00,2019-03-19T11:21:22+01:00,1552990882188
82907,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:22:56 | 200 #033[0m|    3.736245ms |       10.0.3.32 |  GET #033[0m    /api/v1/units,22479.0,ocse,6,2019-03-19T11:22:56.429933+01:00,2019-03-19T11:22:56+01:00,1552990976429
186480,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:50:12 | 200 #033[0m|    1.034996ms |       10.6.2.27 |  GET #033[0m    /api/v1/incidents,25534.0,gendpoint,6,2019-03-19T11:50:12.598376+01:00,2019-03-19T11:50:12+01:00,1552992612598
74072,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:20:37 | 200 #033[0m|    4.943589ms |       10.4.2.27 |  GET #033[0m    /api/v1/connection-check,25466.0,gendpoint,6,2019-03-19T11:20:37.729002+01:00,2019-03-19T11:20:37+01:00,1552990837729
123655,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:33:58 | 200 #033[0m|   13.817905ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:33:58.207709+01:00,2019-03-19T11:33:58+01:00,1552991638207
71918,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:19:55+01:00"" level=info msg=""10.6.2.27 - global-app [19/Mar/2019:11:19:55 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (2ms)"" clientIP=10.6.2.27 dataLength=2 hostname=global-app latency=2 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25534.0,gendpoint,6,2019-03-19T11:19:55.826742+01:00,2019-03-19T11:19:55+01:00,1552990795826
185075,sudo,blue-team-2,10,10.7.102.44,desktop3,   nagios : TTY=unknown ; PWD=/ ; USER=root ; COMMAND=/usr/bin/nmap -sU -Pn -p 53 10.0.2.22,,sudo,5,2019-03-19T11:49:49.212410+01:00,2019-03-19T11:49:49+01:00,1552992589212
131511,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:36:06 | 200 #033[0m|     539.563µs |       10.1.2.27 |  GET #033[0m    /api/v1/stratum-one,25367.0,gendpoint,6,2019-03-19T11:36:06.634623+01:00,2019-03-19T11:36:06+01:00,1552991766634
68606,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:18:56+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:18:56 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (2ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=2 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:18:56.784306+01:00,2019-03-19T11:18:56+01:00,1552990736784
83993,NetworkManager,blue-team-5,0,10.7.105.44,desktop3, <info>  [1552990994.1163]   server identifier 10.0.4.1,829.0,NetworkManager,6,2019-03-19T11:23:14.115545+01:00,2019-03-19T11:23:14+01:00,1552990994115
3127,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:00:49+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:00:49 +0100] \""GET /api/v1/stratum-one\"" 200 31 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.1.2.27 dataLength=31 hostname=global-app latency=1 method=GET path=/api/v1/stratum-one referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:00:49.569922+01:00,2019-03-19T11:00:49+01:00,1552989649569
8159,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:02:19+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:02:19 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (8ms)"" clientIP=10.3.2.27 dataLength=1452 hostname=global-app latency=8 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:02:19.303856+01:00,2019-03-19T11:02:19+01:00,1552989739303
116849,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:32:11 | 200 #033[0m|    6.751763ms |       10.4.2.27 |  GET #033[0m    /api/v1/units/status,25466.0,gendpoint,6,2019-03-19T11:32:11.552050+01:00,2019-03-19T11:32:11+01:00,1552991531552
101705,dhclient,blue-team-1,3,10.7.101.34,DESKTOP-GSWX1ELN, DHCPREQUEST of 10.0.3.34 on eth0 to 10.0.3.1 port 67,507.0,dhclient,6,2019-03-19T11:28:02.139111+01:00,2019-03-19T11:28:02+01:00,1552991282139
33435,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:09:17 | 200 #033[0m|    4.182478ms |       10.1.2.27 |  GET #033[0m    /api/v1/connection-check,25367.0,gendpoint,6,2019-03-19T11:09:17.131446+01:00,2019-03-19T11:09:17+01:00,1552990157131
136069,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:37:24+01:00"" level=info msg=""10.4.2.27 - global-app [19/Mar/2019:11:37:24 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (4ms)"" clientIP=10.4.2.27 dataLength=2 hostname=global-app latency=4 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25466.0,gendpoint,6,2019-03-19T11:37:24.119290+01:00,2019-03-19T11:37:24+01:00,1552991844119
23841,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:06:34+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:06:34 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (8ms)"" clientIP=10.3.2.27 dataLength=2 hostname=global-app latency=8 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:06:34.827879+01:00,2019-03-19T11:06:34+01:00,1552989994827
